E	pcent	pcent01	pcent02	pcent03	pcent04	pcent05	pcent06	pcent07	pcent08	pcent09	pcent10	pcent11	pcent12	Sgeo
0.039611	72.5617567397408	57.5478640424253	61.8096659288071	68.6094251352228	76.0254354868886	80.5354464847445	82.6687289298642	84.2217016510802	84.4591707938649	82.4268569926859	76.9080362027714	62.1244754878006	53.5271237033074	72356.41
0.043169	71.9086457553297	56.7833797396444	61.1566894863405	68.0180415466619	75.4309519463899	80.0357898400256	82.2254090813645	83.7602342765962	83.9827851181277	81.887979209279	76.20642543425	60.9545537062895	52.5883033252578	72356.41
0.047048	71.2439258638635	56.0264485943428	60.4928361253354	67.4094271112362	74.8358142488414	79.5142372207475	81.7629445097459	83.2924367947397	83.4937423481339	81.3292115167728	75.4697591481988	59.7662864713781	51.6646914587732	72356.41
0.051275	70.5647050604963	55.256985397072	59.822954615574	66.7876657913153	74.2285191708165	78.9783531773444	81.2821532124399	82.8117153231274	82.9917410623748	80.7568339156118	74.6984589470961	58.5597015729689	50.7360830707583	72356.41
0.055881	69.8737966084349	54.4882214569597	59.1415903192571	66.165040492425	73.6251802427988	78.4264508220064	80.7813749198039	82.3250255905454	82.4795398230232	80.1663985681985	73.8915382805949	57.3280829436844	49.8059445340116	72356.41
0.060902	69.1680110225686	53.7101658995633	58.448715651836	65.5272830776074	73.0200066533164	77.8547131127774	80.2613560246671	81.8278398078813	81.9588448946379	79.5613134333967	73.0425109318653	56.0802606044319	48.8661682928939	72356.41
0.066373	68.4492809410988	52.9238173473545	57.7532847777599	64.8816642738907	72.4203030920058	77.2534411570443	79.7164398900994	81.3223618106217	81.4217483222253	78.9353725762004	72.1568937370702	54.8177768119263	47.9355891466955	72356.41
0.072336	67.7145849353793	52.1328570801949	57.0485044629132	64.2199611548836	71.8184089926044	76.6286617848983	79.1576478460739	80.793563969663	80.8635845099813	78.2910488228278	71.2468446424927	53.5417808892484	46.9838231686697	72356.41
0.078835	66.9645667442901	51.3484633170969	56.3194852366775	63.5465359321882	71.2118008917382	75.9801150828337	78.5887750764742	80.2530701227902	80.2850412401231	77.6156431749729	70.290182597581	52.2588890897115	46.0328263732143	72356.41
0.085918	66.1978930646558	50.5466812624064	55.5699469599457	62.872843975234	70.5904552344411	75.3210071564121	78.0092224701333	79.6853897591167	79.6910283771274	76.9145548096007	69.2892795858419	50.9818984457116	45.0628478289212	72356.41
