E	pcent	pcent01	pcent02	pcent03	pcent04	pcent05	pcent06	pcent07	pcent08	pcent09	pcent10	pcent11	pcent12	Sgeo
0.003712	63.4916262712566	65.4147642585116	62.3193061662777	62.7150668223599	62.1720432992577	62.8058032903785	64.7035044887006	64.3694206844909	63.2013041826629	62.1105074587667	60.7315556441363	65.544492559031	67.2369550023898	19080010
0.00414	62.9463850356209	64.8693722477314	61.7511616213867	62.1734911742993	61.6747513375759	62.2606375736403	64.1191670736977	63.7906701925577	62.6478419631868	61.5693773498622	60.1880308188164	65.0272353505398	66.7132326249998	19080010
0.004618	62.393738440549	64.3182389305933	61.1775868501925	61.6265235986153	61.1696663116521	61.7069021719504	63.5275490893926	63.2010364393675	62.0820358914104	61.0195694414265	59.6402872986506	64.5052471516947	66.1825951213482	19080010
0.005152	61.8338884834632	63.7604411996408	60.5994647909521	61.0733948234598	60.6570914514848	61.1443211093387	62.9287553749404	62.6007048240209	61.5052672420787	60.4613756233719	59.0889352050326	63.9789677174025	65.6449789512155	19080010
0.005747	61.2681921676093	63.198034695646	60.0167979992809	60.5153398892617	60.1382961702179	60.5756004386001	62.3215648296995	61.9934855843619	60.9204132561184	59.8956434257717	58.5344464866976	63.449615749334	65.1012755384189	19080010
0.006411	60.6953719867501	62.6283794936124	59.4295736708365	59.951617760946	59.611887502108	59.9994781431641	61.7065292547258	61.3783193803641	60.3246636805563	59.3209552239623	57.9764654254886	62.9147644673401	64.5493921550009	19080010
0.007151	60.1162177518972	62.053918075618	58.8377225847036	59.3824373226542	59.0785359240382	59.418637720452	61.0832246235613	60.7552358566532	59.7190847268678	58.7391435113354	57.4149299669219	62.3754551529828	63.989405972493	19080010
0.007977	59.5294399431602	61.4726187874727	58.2401469622578	58.8057073028379	58.5363952572553	58.8304598237181	60.450142931665	60.1242193573842	59.1029567656289	58.1487694149074	56.8489627371764	61.8305374527558	63.4213495395834	19080010
0.008898	58.9355055270878	60.8852025830607	57.6373675484469	58.221725604996	57.9855943334826	58.2369590864618	59.8084547578972	59.484421344197	58.4767969901526	57.5498171796647	56.2780085857062	61.2812689876956	62.8458480100686	19080010
0.009925	58.3349301406491	60.2913220083312	57.0288823151373	57.6318521323406	57.4271092037062	57.6369932608385	59.158664115247	58.8370892672003	57.843019535663	56.9443941394115	55.7024662007677	60.7254246855447	62.2637481513483	19080010
0.011072	57.7262046120226	59.6889812751124	56.4136178212271	57.0346433829588	56.8603517052875	57.0284384467978	58.499698347596	58.1790162024762	57.2003088145829	56.3312776615431	55.1207480604798	60.16251692432	61.6729894915239	19080010
0.01235	57.1102643167691	59.0800823977771	55.7935031668731	56.4314604358192	56.285387301775	56.4104732743767	57.8318326846954	57.5098997844502	56.5501546845951	55.7122049955441	54.5346917986716	59.593193624286	61.0748533519843	19080010
0.013777	56.4856384567794	58.4628326132634	55.1669363953852	55.8197702719268	55.7005517970998	55.783333768431	57.1536595730693	56.828494793531	55.8922222712786	55.0849724126182	53.9419269155163	59.0159166753651	60.4681421737541	19080010
0.015368	55.8528109458855	57.837736106436	54.5361831523048	55.2016293568357	55.106374886722	55.1461895152528	56.4655144945815	56.136588546596	55.2252637600053	54.4492008615248	53.3439304331636	58.4311758317106	59.8516297576136	19080010
0.017142	55.211307284617	57.2046842789356	53.8983126700565	54.5765461862605	54.5028112910641	54.4989504788209	55.7664285487861	55.4346569644474	54.5504874969718	53.8052683636372	52.7394918335051	57.8372548019888	59.2247669437107	19080010
0.019122	54.5599648843679	56.5615403636615	53.2539884492065	53.9424657582833	53.8887561127516	53.8401934859478	55.0549533031552	54.7206771226242	53.8654856877961	53.1530477243608	52.1286437415598	57.2326649267677	58.5870728439662	19080010
0.021331	53.8980859758877	55.9079415115032	52.6024082926191	53.2992132354509	53.2616792474518	53.1693421153267	54.3318976448227	53.9933624315504	53.170738379952	52.4911663791383	51.5105391720444	56.6171545295469	57.9371066248447	19080010
0.023794	53.2252133258302	55.2424123534718	51.9427259798653	52.6455661819865	52.6196326999759	52.4890510445101	53.5972070826903	53.2536613954986	52.4654832710936	51.8212443846021	50.8832394392293	55.9887783052169	57.273838859016	19080010
0.026542	52.5410196880344	54.5637504037791	51.2748151567074	51.9815416327612	51.963434397769	51.7965556102938	52.8507865665327	52.5035765969596	51.7486373604493	51.1414824653941	50.2469317844043	55.34822551791	56.5967702835199	19080010
0.029607	51.8452273493183	53.872488712237	50.597172080126	51.3058059357324	51.2939787840822	51.0899307433961	52.0953309506363	51.7411937085557	51.0203949258743	50.4517327885768	49.602413519547	54.6938907459485	55.9057810566138	19080010
0.033026	51.1375925313438	53.1672408537091	49.9087952080146	50.6188612591596	50.6108490896584	50.3711002828781	51.3284814749044	50.9662952108608	50.2798478650344	49.7542184939576	48.9492733935497	54.0251738263601	55.200001100542	19080010
0.03684	50.4171243465629	52.4445642973968	49.2096455574272	49.9181888175568	49.9135522019639	49.639571445623	50.5522776271926	50.1784222788537	49.5258741264971	49.0469820595025	48.2866902740683	53.341681387316	54.4767166872662	19080010
0.041095	49.683003295201	51.7047488842932	48.4979266373104	49.206740031893	49.2008791211692	48.8940937861994	49.7651314676283	49.3778158267697	48.7555264927585	48.3297961518925	47.6135005798107	52.6431458467283	53.732978129223	19080010
0.045841	48.9342763860865	50.9440738466177	47.7722620452438	48.4834817477953	48.4720228311875	48.1334978939025	48.9642642606568	48.5650813320789	47.967717975516	47.6016692517246	46.929849480844	51.928872558818	52.9700690870714	19080010
0.051135	48.1700215379658	50.1612432317858	47.0314307761148	47.7462698068469	47.7266469760157	47.3587035514984	48.1492817384514	47.7377875618616	47.162220551326	46.8614059249318	46.2349196651178	51.1978696106499	52.1868531890023	19080010
0.05704	47.3901939888905	49.3565585525183	46.2738389185488	46.9949361137207	46.9654527166703	46.5691325348001	47.3209648505115	46.896018694567	46.3409710066917	46.1086488582248	45.5279016319958	50.4490375463419	51.383479663774	19080010
