E	pcent	pcent06	pcent07	pcent08	pcent09	pcent10	Sgeo
0.03684	29.2855537225979	26.2686548411366	32.9373289841367	32.140211080663	27.6779823743305	12.4091397517378	6100532
0.041095	28.5668980908516	25.6165669610761	32.2418303777054	31.3657769524411	26.8944127174861	11.9940674570349	6100532
0.045841	27.8437364965084	24.9670120279414	31.5355000063595	30.5835731932676	26.1090887594911	11.5890122353275	6100532
0.051135	27.1130964687293	24.3172121273027	30.8230936910459	29.7835817444071	25.317506733026	11.2019301283019	6100532
0.05704	26.3769784551527	23.6701251657736	30.0987473480557	28.9722957648367	24.5258876811619	10.8236832131471	6100532
0.063628	25.6349612766325	23.0244356741372	29.3631830379363	28.1511579132917	23.7305489936075	10.4551568256237	6100532
0.070976	24.8868300381639	22.3744880555063	28.6167405844884	27.321209266226	22.932482235667	10.0970862907205	6100532
0.079172	24.1359537725014	21.7194217494128	27.8628924825202	26.4818378160158	22.1434655002593	9.75004288727945	6100532
0.088316	23.380691704227	21.0535784147394	27.1003099903091	25.6327537221638	21.3619033055361	9.41488310325336	6100532
0.098515	22.626147499669	20.3819184398196	26.3288299669485	24.780337444604	20.5985588464246	9.0888055107196	6100532
0.109892	21.8752769867779	19.7130208077927	25.5455268784158	23.931931578354	19.8529673760505	8.7754026133327	6100532
0.122583	21.1301859728196	19.0460885688415	24.7568829387694	23.0885222794511	19.1264857052228	8.4749999164651	6100532
0.13674	20.3931427566083	18.3842380198172	23.9670063114253	22.2500513252505	18.4227160212848	8.18626053895929	6100532
0.152532	19.6650705429674	17.7211254362779	23.1770013848753	21.4197192691896	17.7448773528381	7.90749082782778	6100532
0.170147	18.9483520238127	17.0626656410125	22.3848265874207	20.6021348552786	17.0953365924753	7.63834275205819	6100532
0.189797	18.2387373399037	16.4132181417632	21.5863399030743	19.791503451859	16.4653299397974	7.37761389910786	6100532
0.211716	17.5389629345551	15.770336869431	20.7777583800632	18.9997538310798	15.8569008583533	7.12392114250439	6100532
0.236166	16.8530225469538	15.1340492467239	19.9704389913251	18.2332106608226	15.2666792602893	6.87874784565628	6100532
0.26344	16.1837296277437	14.5118672749952	19.1655001304969	17.495504486646	14.6951508467842	6.64455376648144	6100532
0.293864	15.5348037837105	13.9029002924762	18.3728208788702	16.7925944029169	14.1415036745972	6.41787964295409	6100532
0.327801	14.9041939962207	13.3067746827981	17.5962407286578	16.1218438845266	13.5971762179498	6.19708688010726	6100532
0.365658	14.2903143159368	12.7271487029839	16.8329271074902	15.478866831363	13.0611918987196	5.9840755129063	6100532
0.407886	13.6992352464009	12.1648854310379	16.0966080740826	14.868998704832	12.5384616965734	5.77456253389758	6100532
0.454991	13.1306786467999	11.6291131432399	15.3909114188556	14.2843672490793	12.0275773195898	5.5709483285472	6100532
0.507537	12.5819940383674	11.1141597203056	14.7182725404303	13.7202074415076	11.525459836654	5.37013495399481	6100532
0.566151	12.0566664912086	10.6186555966522	14.0835388305977	13.1796275471495	11.0380850819546	5.17471613294706	6100532
0.631533	11.552387583497	10.1427567966327	13.4856569629497	12.6539790068697	10.5679405633585	4.98411088796949	6100532
0.704467	11.0667422485258	9.68433834821173	12.919929282213	12.1418778736677	10.1132413171174	4.79682375130906	6100532
0.785823	10.5981651507463	9.24341204338869	12.3792918759095	11.6454720267342	9.67193877261018	4.61283444603906	6100532
0.876575	10.1422004562278	8.81405754191671	11.8589488244147	11.1622140870808	9.23763671031351	4.43132002195379	6100532
0.977808	9.69640353759491	8.3940887559178	11.3536692704418	10.6903773493223	8.80942723567072	4.25089968965138	6100532
1.090732	9.26104297728383	7.98799957028092	10.8614466550236	10.2316398889788	8.38523552385078	4.07223267610891	6100532
1.216697	8.83813015666551	7.59561328409577	10.3870068383833	9.78673417020089	7.96757395012109	3.89639394840689	6100532
1.357209	8.42621647987594	7.22274305530112	9.9243576106544	9.35047365156477	7.55963063444321	3.72199498652628	6100532
1.513948	8.02669433745497	6.86772584204622	9.47944791941787	8.923886090529	7.1604611676514	3.55103702458117	6100532
1.688789	7.63835247231627	6.53484028976531	9.05158643409897	8.50521410869228	6.76534457740561	3.38250471722771	6100532
1.883821	7.26162376492585	6.21923009611232	8.64392531308731	8.09254713375451	6.37819261815879	3.21779404931984	6100532
2.101377	6.89762410803047	5.91843192877055	8.2553616828176	7.68790298614205	6.00456841319568	3.05379294685838	6100532
2.344058	6.5443015383997	5.63458478422957	7.87572517067754	7.2918847758981	5.64315365361294	2.8948850276499	6100532
2.614765	6.20164546293157	5.36392261028127	7.50892009083397	6.90108652906544	5.29741162794901	2.73805673878865	6100532
2.916736	5.86749361060393	5.10025490950918	7.15016749942492	6.51806142821254	4.96357339906403	2.58528342461078	6100532
3.253579	5.54172939233458	4.84424479653334	6.80002212231821	6.14508139768584	4.63782356585926	2.4339619210843	6100532
3.629324	5.22170019523475	4.59744105714656	6.45748203549566	5.78150096316212	4.31031204423358	2.28213618739151	6100532
